iter	RMSE
0	24573.78203
1	23249.89898
2	21835.27529
3	20550.04628
4	19554.85665
5	18504.80016
6	17595.87914
7	16759.19162
8	15975.70011
9	15313.45274
10	14699.9469
11	14145.44517
12	13721.80343
13	13246.9978
14	12833.47189
15	12501.50989
16	12168.37869
17	11866.88112
18	11671.58242
19	11406.2572
20	11205.68828
21	11000.03054
22	10781.45256
23	10621.47993
24	10429.043
25	10299.23027
26	10154.2314
27	10054.05645
28	9887.820028
29	9727.842364
30	9571.189903
31	9417.436864
32	9259.15014
33	9178.068854
34	9134.734412
35	9024.069638
36	8898.558208
37	8874.040214
38	8728.530176
39	8613.439755
40	8513.018903
41	8407.55168
42	8294.458807
43	8194.29805
44	8101.907359
45	8008.601015
46	7913.616386
47	7870.109961
48	7834.281863
49	7735.799369
50	7647.997526
51	7553.396094
52	7471.097825
53	7457.982357
54	7406.166497
55	7334.06005
56	7318.667523
57	7241.426837
58	7159.246768
59	7067.977766
60	6964.63665
61	6887.626013
62	6837.287484
63	6776.872606
64	6770.783666
65	6705.17204
66	6695.193236
67	6679.461705
68	6639.861042
69	6570.659401
70	6520.112642
71	6456.51697
72	6409.908528
73	6400.094917
74	6328.500722
75	6282.031093
76	6219.012861
77	6205.028262
78	6198.376669
79	6150.583696
80	6088.334738
81	6042.068623
82	5983.020339
83	5945.393518
84	5889.792915
85	5852.157018
86	5801.037164
87	5742.761855
88	5699.698154
89	5685.346196
90	5654.813807
91	5602.042252
92	5550.933106
93	5511.866082
94	5468.886963
95	5424.980538
96	5383.315652
97	5349.956556
98	5306.61158
99	5260.44259
100	5231.079673
101	5205.043071
102	5148.333996
103	5121.713958
104	5065.603023
105	5028.065141
106	4973.061216
107	4937.594291
108	4910.827032
109	4882.66441
110	4819.48403
111	4783.890943
112	4753.789616
113	4716.161589
114	4669.422555
115	4640.15779
116	4603.755897
117	4574.769914
118	4535.224442
119	4514.260707
120	4465.180471
121	4430.598101
122	4406.650858
123	4365.244077
124	4341.07525
125	4309.441168
126	4287.276166
127	4251.10806
128	4230.476787
129	4208.444548
130	4184.07715
131	4162.887077
132	4135.295361
133	4116.079303
134	4092.261967
135	4070.077585
136	4035.480043
137	4018.80302
138	3995.775457
139	3970.74452
140	3947.242752
141	3923.225022
142	3896.07567
143	3867.129687
144	3852.522078
145	3825.288232
146	3813.005769
147	3800.243305
148	3775.234981
149	3763.513405
150	3739.84669
151	3723.129794
152	3701.642578
153	3679.778475
154	3653.678466
155	3636.713198
156	3615.792715
157	3593.590615
158	3582.507769
159	3545.176275
160	3537.418072
161	3513.9262
162	3492.997261
163	3472.921213
164	3461.691536
165	3434.726146
166	3419.862894
167	3399.140879
168	3381.833959
169	3362.495928
170	3343.879426
171	3327.757626
172	3313.904289
173	3294.158755
174	3283.647874
175	3269.386784
176	3252.637257
177	3244.180934
178	3222.926883
179	3215.187123
180	3192.63742
181	3180.152352
182	3159.226834
183	3140.504433
184	3123.974627
185	3108.529016
186	3096.668376
187	3083.163104
188	3068.917509
189	3058.551413
190	3049.406743
191	3040.219275
192	3018.224869
193	3006.088244
194	2990.564963
195	2975.695106
196	2967.225236
197	2950.142955
198	2934.960778
199	2929.450128
200	2916.234919
201	2903.166382
202	2891.951293
203	2883.832848
204	2871.798777
205	2859.704027
206	2853.47403
207	2839.656025
208	2829.595313
209	2808.023255
210	2799.716936
211	2789.975381
212	2770.810093
213	2750.940554
214	2732.010696
215	2715.148165
216	2702.544419
217	2690.735538
218	2672.132921
219	2663.449822
220	2650.403789
221	2634.944886
222	2625.17936
223	2613.861801
224	2601.121381
225	2588.851319
226	2573.618877
227	2569.122189
228	2565.039305
229	2552.20003
230	2543.66327
231	2539.215098
232	2523.981682
233	2512.01549
234	2499.974307
235	2487.859946
236	2475.585674
237	2470.765813
238	2460.254562
239	2450.577449
240	2438.93939
241	2434.835141
242	2423.420808
243	2416.559451
244	2412.622106
245	2405.643515
246	2394.466517
247	2390.437374
248	2382.094269
249	2375.667787
250	2368.777999
251	2353.026278
252	2345.38097
253	2336.326799
254	2328.594788
255	2315.021895
256	2301.758566
257	2289.890664
258	2279.206848
259	2272.191285
260	2266.727451
261	2261.722952
262	2250.573795
263	2244.981542
264	2227.595299
265	2216.315603
266	2205.699022
267	2193.946891
268	2190.059214
269	2185.311568
270	2175.658124
271	2172.717867
272	2160.802882
273	2155.653753
274	2146.773721
275	2133.080872
276	2128.284507
277	2119.445733
278	2107.959221
279	2095.201749
280	2083.656659
281	2078.187886
282	2068.660294
283	2056.516352
284	2044.424099
285	2036.741476
286	2028.166174
287	2024.530689
288	2017.131058
289	2011.579023
290	2002.203236
291	1994.633137
292	1988.072129
293	1977.885253
294	1975.999336
295	1967.020619
296	1952.413554
297	1947.392334
298	1939.136526
299	1934.744262
300	1929.854998
301	1919.744486
302	1905.807849
303	1899.335223
304	1894.375125
305	1891.110539
306	1884.657892
307	1874.62203
308	1868.069895
309	1861.415116
310	1852.66338
311	1848.659274
312	1843.104523
313	1834.124586
314	1830.060933
315	1822.680976
316	1819.670318
317	1810.262549
318	1805.473983
319	1796.65821
320	1792.580393
321	1788.245796
322	1779.272447
323	1773.57806
324	1763.663774
325	1756.774121
326	1751.045999
327	1745.410729
328	1742.329513
329	1739.164872
330	1730.007918
331	1721.334267
332	1711.661097
333	1703.198702
334	1699.578383
335	1695.983069
336	1688.274693
337	1679.595479
338	1675.58157
339	1673.06458
340	1664.629074
341	1658.325148
342	1653.185018
343	1649.172802
344	1642.906326
345	1639.73709
346	1633.494311
347	1630.203039
348	1624.912807
349	1617.886329
350	1610.658313
351	1608.011425
352	1603.710902
353	1597.294172
354	1590.891849
355	1588.426888
356	1581.368843
357	1578.438207
358	1574.190458
359	1566.521417
360	1561.089416
361	1552.511514
362	1546.330255
363	1542.168817
364	1534.408813
365	1532.15497
366	1527.197269
367	1520.125138
368	1514.938945
369	1509.025158
370	1506.411377
371	1500.295494
372	1491.603351
373	1486.929309
374	1484.425718
375	1478.587686
376	1470.344434
377	1466.125967
378	1460.27259
379	1453.806372
380	1447.454774
381	1442.488565
382	1440.723484
383	1437.260122
384	1430.127413
385	1425.556556
386	1416.925609
387	1415.357275
388	1410.650587
389	1405.970977
390	1402.985933
391	1396.813023
392	1390.14843
393	1389.269258
394	1383.149945
395	1377.628665
396	1373.297027
397	1366.76056
398	1363.908696
399	1361.873994
400	1358.565552
401	1357.844881
402	1351.527686
403	1349.133897
404	1347.2831
405	1344.066607
406	1339.09688
407	1331.744952
408	1324.801048
409	1320.423819
410	1315.454786
411	1313.548513
412	1310.290392
413	1306.957437
414	1303.860969
415	1298.683677
416	1293.337377
417	1287.456259
418	1283.49727
419	1280.152667
420	1273.893775
421	1266.650408
422	1260.986676
423	1256.471606
424	1254.832095
425	1251.854009
426	1248.767989
427	1244.140636
428	1241.876069
429	1238.539372
430	1233.163002
431	1226.773001
432	1224.71569
433	1223.752698
434	1220.863378
435	1218.858101
436	1214.93759
437	1211.588768
438	1208.325043
439	1203.450747
440	1196.381392
441	1192.146102
442	1191.093453
443	1188.13332
444	1185.052751
445	1183.812181
446	1178.83905
447	1178.034109
448	1173.395863
449	1168.26317
450	1161.970799
451	1157.937428
452	1154.081616
453	1149.566762
454	1145.644002
455	1140.418265
456	1138.782121
457	1138.116103
458	1133.146973
459	1128.559555
460	1124.309211
461	1119.585373
462	1115.571239
463	1114.262623
464	1109.747519
465	1106.827702
