iter	Passed	Remaining
0	715	1429450
1	1454	1452776
2	1663	1107584
3	1682	839588
4	2395	955834
5	3090	1027031
6	3796	1080919
7	3835	955082
8	3858	853516
9	3914	778992
10	3945	713481
11	3974	658506
12	4687	716420
13	5380	763207
14	5404	715146
15	5605	695142
16	6316	736769
17	6342	698361
18	6359	663068
19	7062	699142
20	7083	667515
21	7097	638161
22	7292	626838
23	7318	602577
24	8031	634464
25	8069	612638
26	8761	640215
27	8782	618523
28	9494	645293
29	10215	670821
30	10935	694578
31	11683	718517
32	12412	739885
33	13154	760624
34	13167	739236
35	13889	757734
36	14604	774821
37	14614	754576
38	15324	770549
39	16041	786014
40	16783	801903
41	17497	815708
42	18239	830128
43	18951	842490
44	19667	854464
45	20384	865917
46	21101	876836
47	21153	860225
48	21181	843375
49	21934	855439
50	22666	866219
51	23412	877076
52	24134	886612
53	24153	870422
54	24915	881099
55	25615	889220
56	25637	873922
57	26394	883775
58	27238	896097
59	28159	910485
60	29050	923425
61	29880	934005
62	30730	944839
63	31569	954966
64	31582	940197
65	32433	950401
66	32449	936192
67	32477	922750
68	33320	932494
69	34153	941673
70	34987	950587
71	35801	958682
72	36620	966693
73	36646	953809
74	37479	961978
75	38297	969532
76	39148	977696
77	39183	965516
78	39200	953210
79	40068	961653
80	40902	969040
81	41720	975851
82	42577	983396
83	43416	990318
84	44286	997754
85	45158	1005036
86	45995	1011369
87	46799	1016830
88	47615	1022405
89	47643	1011107
90	48475	1016921
91	49335	1023173
92	50200	1029373
93	51092	1035981
94	51945	1041639
95	52783	1046869
96	53647	1052493
97	54560	1058925
98	55475	1065235
99	56414	1071867
100	57837	1087453
101	58824	1094597
102	59771	1100846
103	60704	1106681
104	61605	1111824
105	62535	1117380
106	63476	1122999
107	64373	1127726
108	64852	1125102
109	65751	1129725
110	66702	1135143
111	67681	1140921
112	68586	1145325
113	69471	1149323
114	70357	1153245
115	71234	1156938
116	72133	1160911
117	73034	1164832
118	73897	1168084
119	74776	1171502
120	75711	1175711
121	76622	1179488
122	77502	1182694
123	78418	1186399
124	79281	1189224
125	80174	1192436
126	81035	1195120
127	81927	1198188
128	82827	1201323
129	83745	1204652
130	84619	1207280
131	85509	1210090
132	86438	1213383
133	87345	1216322
134	88248	1219129
135	89146	1221827
136	90015	1224084
137	90904	1226548
138	91786	1228879
139	92673	1231233
140	93557	1233494
141	94511	1236630
142	95445	1239461
143	96323	1241505
144	97231	1243888
145	98114	1245914
146	98993	1247856
147	99937	1250574
148	100822	1252501
149	101714	1254484
150	102635	1256776
151	103519	1258576
152	104443	1260826
153	105348	1262809
154	106275	1265019
155	107147	1266538
156	108039	1268254
157	108935	1270000
158	109813	1271487
159	110722	1273308
160	111219	1270393
161	112115	1272026
162	113037	1273925
163	113929	1275459
164	114869	1277491
165	115762	1278962
166	116666	1280537
167	117539	1281739
168	118416	1282966
169	119339	1284653
170	120237	1286049
171	121141	1287475
172	122042	1288853
173	122933	1290099
174	123832	1291394
175	124763	1293005
176	125678	1294417
177	126554	1295407
178	127465	1296725
179	128373	1298001
180	129275	1299185
181	130166	1300230
182	131046	1301158
183	131936	1302156
184	132839	1303260
185	133746	1304388
186	134662	1305573
187	135659	1307530
188	136759	1310430
189	137653	1311329
190	138527	1312025
191	139418	1312858
192	140295	1313545
193	141185	1314335
194	142049	1314868
195	142921	1315461
196	143814	1316230
197	144700	1316924
198	145606	1317779
199	146500	1318508
200	147363	1318939
201	148283	1319869
202	149185	1320624
203	150087	1321359
204	150984	1322035
205	151864	1322544
206	152746	1323061
207	153641	1323681
208	154505	1324014
209	155395	1324562
210	156285	1325095
211	157168	1325553
212	158030	1325825
213	158907	1326209
214	159792	1326652
215	160689	1327173
216	161570	1327555
217	162448	1327900
218	163360	1328512
219	164277	1329153
220	165173	1329610
221	166068	1330042
222	166943	1330310
223	167824	1330609
224	168688	1330767
225	169558	1330958
226	170419	1331070
227	171330	1331565
228	172205	1331771
229	173097	1332097
230	173971	1332274
231	174856	1332529
232	175734	1332718
233	176618	1332940
234	177489	1333062
235	178394	1333422
236	179279	1333626
237	180159	1333788
238	181046	1333990
239	181906	1333979
240	182770	1333998
241	183666	1334240
242	184557	1334436
243	185429	1334485
244	186347	1334853
245	187229	1334960
246	188117	1335099
247	189013	1335290
248	189892	1335346
249	190820	1335745
250	191691	1335732
251	192566	1335740
252	193475	1335976
253	194343	1335918
254	195205	1335819
255	196096	1335907
256	196988	1335997
257	197849	1335870
258	198730	1335866
259	199595	1335757
260	200495	1335869
261	201380	1335878
262	202316	1336213
263	203212	1336275
264	204098	1336265
265	204970	1336158
266	205869	1336224
267	206746	1336136
268	207651	1336224
269	208545	1336234
270	209431	1336188
271	210304	1336055
272	211159	1335797
273	212020	1335571
274	212892	1335417
275	213760	1335225
276	214600	1334859
277	215475	1334705
278	216338	1334477
279	217202	1334241
280	218038	1333837
281	218887	1333503
282	219761	1333322
283	220644	1333189
284	221485	1332799
285	222322	1332379
286	223193	1332163
287	224067	1331958
288	224915	1331590
289	225765	1331237
290	226616	1330882
291	227471	1330554
292	228313	1330142
293	229184	1329896
294	230076	1329765
295	230949	1329520
296	231803	1329164
297	232662	1328830
298	233527	1328531
299	234389	1328207
300	235269	1327982
301	236127	1327632
302	237002	1327371
303	237869	1327061
304	238721	1326663
305	239589	1326353
306	240521	1326395
307	241395	1326107
308	242263	1325783
309	243116	1325378
310	243961	1324924
311	244812	1324497
312	245685	1324187
313	246531	1323732
314	247405	1323425
315	248279	1323109
316	249151	1322782
317	250000	1322329
318	250884	1322057
319	251740	1321638
320	252601	1321237
321	253465	1320856
322	254330	1320471
323	255173	1319969
324	256029	1319536
325	256893	1319140
326	257745	1318678
327	258592	1318193
328	259425	1317630
329	260274	1317148
330	261141	1316754
331	261995	1316289
332	262851	1315837
333	263700	1315346
334	263926	1311756
335	264763	1311211
336	265614	1310731
337	266447	1310162
338	267310	1309742
339	268185	1309378
340	269021	1308818
341	269866	1308301
342	270720	1307823
343	271553	1307244
344	272429	1306874
345	273298	1306462
346	274162	1306022
347	275047	1305683
348	275912	1305248
349	276785	1304847
350	277700	1304636
351	278584	1304284
352	279472	1303939
353	280347	1303537
354	281203	1303040
355	282076	1302624
356	282931	1302119
357	283792	1301641
358	284684	1301299
359	285541	1300800
360	286411	1300355
361	287271	1299862
362	288129	1299361
363	288971	1298782
364	289827	1298270
365	290753	1298061
366	291872	1298711
367	293189	1300229
368	294454	1301503
369	295480	1301711
370	296606	1302350
371	297674	1302724
372	298661	1302739
373	299812	1303462
374	300793	1303437
375	301673	1302972
376	302541	1302454
377	303392	1301859
378	304235	1301227
379	305084	1300623
380	305941	1300048
381	306800	1299484
382	307665	1298941
383	308532	1298406
384	309368	1297741
385	310248	1297257
386	311096	1296638
387	311991	1296213
388	312849	1295629
389	313688	1294971
390	314533	1294333
391	315407	1293813
392	316283	1293302
393	317137	1292695
394	317989	1292082
395	318868	1291578
396	319731	1291008
397	320588	1290408
398	321478	1289940
399	322337	1289349
400	323198	1288762
401	323437	1285702
402	324281	1285057
403	325177	1284611
404	326037	1284023
405	326888	1283398
406	327740	1282776
407	328797	1282956
408	329749	1282715
409	330617	1282149
410	331492	1281610
411	332350	1281001
412	333205	1280379
413	334084	1279849
414	334926	1279178
415	335767	1278497
416	336645	1277959
417	337534	1277464
418	338404	1276891
419	339245	1276210
420	340098	1275570
421	340970	1275001
422	341834	1274403
423	342711	1273852
424	343585	1273287
425	344434	1272629
426	345288	1271987
427	346153	1271386
428	347012	1270759
429	347860	1270094
430	348711	1269440
431	349660	1269138
432	350546	1268605
433	350684	1265374
434	351541	1264742
435	352501	1264478
436	353431	1264104
437	354328	1263609
438	355239	1263162
439	356430	1263709
440	357334	1263229
441	358231	1262726
442	359140	1262262
443	360051	1261800
444	360893	1261099
445	361778	1260548
446	362657	1259971
447	362746	1256657
448	363588	1255961
449	364437	1255285
450	365290	1254623
451	366130	1253915
452	366986	1253263
453	367857	1252659
454	368759	1252162
455	369626	1251543
456	370491	1250914
457	371397	1250424
458	372250	1249755
459	373101	1249078
460	373957	1248419
461	374814	1247759
462	375659	1247061
463	376534	1246458
464	377387	1245784
465	378267	1245196
466	379137	1244577
467	379993	1243911
468	380916	1243461
469	381810	1242915
470	382684	1242302
471	383573	1241737
472	384423	1241047
473	385300	1240439
474	386164	1239792
475	387031	1239152
476	387878	1238447
477	388734	1237769
478	389611	1237158
479	390522	1236653
480	391386	1235998
481	392251	1235348
482	393090	1234613
483	393961	1233979
484	394862	1233435
485	395720	1232759
486	396576	1232072
487	397448	1231437
488	398299	1230738
489	399172	1230103
490	400047	1229474
491	400914	1228818
492	401793	1228200
493	402680	1227604
494	403542	1226932
495	404513	1226588
496	405442	1226115
497	406351	1225580
498	407294	1225148
499	408146	1224438
500	408995	1223722
501	409859	1223048
502	410725	1222377
503	411593	1221713
504	412459	1221042
505	413335	1220402
506	414225	1219799
507	415119	1219208
508	416021	1218639
509	416997	1218287
510	417920	1217775
511	418850	1217284
512	419774	1216774
513	420734	1216364
514	421666	1215872
515	422593	1215364
516	423469	1214711
517	424359	1214093
518	425240	1213450
519	426109	1212771
520	427008	1212178
521	427900	1211565
522	428768	1210881
523	429641	1210211
524	430533	1209595
525	431404	1208917
526	432273	1208233
527	433160	1207599
528	434012	1206866
529	434986	1206470
530	435911	1205938
531	436799	1205303
532	437687	1204666
533	438562	1203992
534	439441	1203331
535	440316	1202656
536	441199	1202001
537	442086	1201356
538	442957	1200668
539	443844	1200023
540	444705	1199307
541	445588	1198650
542	446480	1198015
543	447351	1197322
544	448224	1196636
545	449083	1195912
546	449969	1195258
547	450846	1194579
548	451718	1193887
549	452585	1193178
550	453499	1192595
551	454373	1191908
552	455252	1191229
553	456168	1190648
554	457051	1189980
555	457895	1189210
556	458754	1188478
557	459627	1187781
558	460471	1187012
559	461351	1186333
560	462221	1185627
561	463101	1184945
562	463949	1184182
563	464809	1183451
564	465694	1182782
565	466582	1182119
566	467461	1181433
567	468340	1180746
568	469203	1180016
569	470051	1179252
570	470940	1178588
571	471793	1177833
572	472655	1177101
573	473503	1176334
574	474369	1175610
575	475291	1175026
576	475380	1172386
577	476216	1171590
578	477090	1170890
579	477944	1170139
580	478797	1169385
581	479645	1168619
582	480497	1167865
583	481371	1167160
584	482229	1166418
585	483086	1165672
586	483936	1164910
587	484795	1164168
588	485726	1163600
589	486747	1163243
590	487820	1163009
591	488899	1162787
592	489934	1162457
593	490996	1162190
594	492142	1162118
595	493036	1161448
596	493938	1160797
597	494771	1159982
598	495707	1159410
599	496569	1158662
600	497439	1157932
601	498317	1157223
602	499182	1156481
603	500077	1155807
604	500959	1155104
605	501781	1154262
606	502652	1153533
607	503485	1152716
608	504377	1152034
609	505212	1151222
610	506079	1150481
611	506909	1149657
612	507758	1148875
613	508613	1148108
614	509484	1147375
615	510348	1146628
616	511198	1145847
617	512090	1145159
618	512933	1144364
619	513795	1143610
620	514658	1142856
621	515478	1142008
622	516379	1141339
623	517256	1140617
624	518108	1139837
625	519002	1139152
626	519868	1138403
627	520772	1137738
628	521656	1137029
629	522480	1136187
630	523324	1135389
631	524213	1134690
632	525094	1133971
633	525921	1133137
634	526783	1132378
635	527606	1131532
636	528475	1130788
637	529362	1130082
638	530186	1129238
639	531074	1128533
640	531940	1127780
641	532869	1127159
642	533733	1126402
643	534604	1125657
644	535462	1124886
645	536303	1124079
646	537150	1123284
647	537987	1122467
648	538846	1121697
649	539678	1120870
650	540555	1120137
651	541532	1119609
652	542405	1118866
653	543294	1118156
654	544149	1117375
655	544991	1116567
656	545819	1115731
657	546652	1114905
658	547530	1114169
659	548375	1113367
660	549241	1112609
661	550068	1111769
662	550911	1110962
663	551761	1110170
664	552645	1109446
665	553525	1108712
666	554417	1108003
667	555267	1107209
668	556139	1106460
669	557007	1105700
670	557890	1104972
671	558734	1104165
672	559607	1103415
673	560582	1102867
674	561756	1102706
675	562671	1102036
676	563695	1101578
677	564685	1101053
678	565699	1100572
679	566661	1099989
680	567549	1099262
681	568429	1098518
682	569277	1097712
683	570143	1096943
684	571028	1096207
685	571910	1095467
686	572789	1094719
687	573695	1094023
688	574558	1093245
689	575411	1092448
690	576302	1091721
691	577182	1090974
692	578072	1090245
693	579225	1090011
694	580480	1089967
695	580559	1087714
696	581532	1087139
697	582424	1086414
698	583311	1085677
699	584183	1084912
700	584988	1084023
701	585867	1083269
702	586741	1082509
703	587606	1081730
704	588477	1080961
705	589290	1080088
706	590119	1079242
707	590996	1078484
708	591851	1077686
709	592716	1076906
710	593568	1076103
711	594440	1075335
712	595290	1074529
713	596133	1073708
714	596979	1072893
715	597828	1072083
716	598680	1071278
717	599523	1070458
718	600356	1069619
719	601246	1068882
720	602159	1068186
721	603035	1067422
722	603845	1066542
723	604692	1065728
724	605526	1064890
725	606371	1064073
726	607241	1063298
727	608062	1062439
728	608951	1061697
729	609758	1060813
730	609838	1058665
731	610682	1057849
732	611555	1057082
733	612382	1056234
734	613220	1055406
735	614078	1054612
736	614947	1053838
737	615787	1053012
738	616651	1052230
739	617505	1051428
740	618354	1050619
741	619237	1049866
742	620059	1049011
743	620937	1048249
744	621755	1047386
745	622627	1046615
746	623456	1045771
747	624340	1045019
748	625170	1044177
749	626017	1043363
750	626905	1042616
751	627774	1041838
752	628641	1041057
753	629520	1040295
754	630511	1039717
755	631388	1038951
756	632240	1038143
757	633115	1037373
758	633943	1036526
759	634781	1035696
760	635619	1034865
761	636469	1034054
762	637494	1033525
763	638574	1033087
764	639816	1032906
765	640867	1032416
766	641811	1031751
767	642837	1031217
768	643900	1030743
769	644785	1029982
770	645679	1029235
771	646541	1028436
772	647435	1027688
773	648333	1026946
774	649225	1026195
775	650087	1025395
776	650976	1024638
777	651852	1023861
778	652727	1023081
779	653618	1022326
780	654477	1021521
781	655373	1020773
782	656268	1020023
783	657172	1019287
784	658080	1018557
